"name","segment","what_they_do","town","district","province","ownership","parent","scale","pacra_number","pacra_status","isic","ncc_grade","officeholder","confidence","evidence","lat","lng","coord_basis","notes","sources"
"Zambian Geoscience Mineral Testing Center Company Limited","assay_lab","Mineral testing centre; PACRA ISIC 'Technical testing and analysis'",,,,,,"Incorporated 27/05/2025","120251026179","Active","Technical testing and analysis",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20LABORATOR&SortyBy=entity%20name&Direction=ASC"
"Alimu Mining and Suppliers","consumables_reagents","Mining supplies firm registered with the NCC as a manufacturer/supplier in the civil category and as a civil contractor","Mpongwe","Mpongwe","Copperbelt","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 5 M (C) and 6C",,,,"5 M (C); 6C",,"high","non-registry source evidences operations","-13.5167","28.15","town centroid, not a company address","One NCC row gives Lusaka as the town and another Mpongwe; both carry Copperbelt as the province.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"BKC Mining and Industrial Suppliers Limited","consumables_reagents","Mining and industrial supplies company; PACRA ISIC 'Support activities for other mining and quarrying'. One of the older mining-supply registrations on the register",,,,,,"PACRA registration 1982 - over four decades on the register","119820011524","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SUPPORT&SortyBy=entity%20name&Direction=ASC"
"Boltgas Industrial and Mining Supplies Limited","consumables_reagents","Industrial and mining consumables supplier (name indicates fasteners and industrial gases); PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2011","120110089600","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20SUPPLIES&SortyBy=entity%20name&Direction=ASC"
"Curechem Zambia Limited","consumables_reagents","Industrial and mining chemicals distributor supplying reagents and process chemicals to Zambian industry and mines","Lusaka","Lusaka","Lusaka","Part of a regional African chemicals distribution group","Curechem Group",,,,,,,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://zambianmining.com/mining-directory/"
"Dana Group of Companies (Zambia)","consumables_reagents","Distributes Castrol lubricants, filters and tyres to automotive and mining customers","Lusaka","Lusaka","Lusaka",,"Dana Group",,,,,,,"medium","registry record and/or indirect evidence only","-15.4167","28.2833","town centroid, not a company address","Shares a Mukwa Road, Lusaka address with the Curechem listing in the same directory - the two may be co-located or affiliated.","https://zambianmining.com/mining-directory/"
"Epilite Mining & Industrial Supplies Zambia Limited","consumables_reagents","Mining and industrial supplies; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2021","120210020470","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20SUPPLIES&SortyBy=entity%20name&Direction=ASC"
"Freca Mining & Suppliers","consumables_reagents","Mining supplies firm with three NCC registrations in the electrical, building and civil categories, including a grade-1 electrical registration","Lusaka","Lusaka",,"Zambian (NCC ownership classification: Zambian)",,"NCC grades 1E, 5B and 5C - grade 1 is the top NCC capacity band",,,,"1E; 5B; 5C",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","A grade-1E registration is unusual for a supplier and indicates substantial electrical contracting capacity.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Gemburst Mining Industries & Suppliers","consumables_reagents","Mining supplies firm with Lusaka and Kitwe NCC registrations, both carrying a Copperbelt province classification","Kitwe","Kitwe","Copperbelt","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 6R and 6B",,,,"6R; 6B",,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Jabali Mining and Suppliers","consumables_reagents","Mining and supply contractor with five NCC registrations spread across Ndola, Lusaka, Kabwe and Katete, all carrying a Copperbelt province classification","Ndola","Ndola","Copperbelt","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 6 M (R), 6B, 2B, 5R, 5B - including a grade-2 registration",,,,"6 M (R); 6B; 2B; 5R; 5B",,"high","non-registry source evidences operations","-12.9587","28.6366","town centroid, not a company address","Five registrations across four towns indicate a genuinely multi-site operation.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Josto Mining and Suppliers","consumables_reagents","Mining supplies firm with Kitwe-based NCC registrations across roads, mechanical/electrical and building categories","Kitwe","Kitwe","Copperbelt","Zambian (NCC ownership classification)",,"NCC grades 6R, 6 ME and 6B",,,,"6R; 6 ME; 6B",,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Kabwe Mining and Drilling Supplies Company","consumables_reagents","Mining and drilling supplies business named for Kabwe, the historic lead-zinc mining town; one of the oldest registrations in this segment","Kabwe","Kabwe","Central","Zambian registered business name",,"PACRA registration 1971","319710009935","Active",,,,"medium","registry record and/or indirect evidence only","-14.4469","28.4464","town centroid, not a company address","Town inferred from the trading name; PACRA search output carries no address field, so treat town as provisional.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20SUPPLIES&SortyBy=entity%20name&Direction=ASC"
"Koppa Mining Services and Supplies Limited","consumables_reagents","Mining services and supplies; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2003","120030053612","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20SUPPLIES&SortyBy=entity%20name&Direction=ASC"
"LHS Mining Tools Limited","consumables_reagents","Supplier of mining tools; NCC-registered as a manufacturer/supplier in the civil category","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grade 6 M (C) - the 'M' prefix denotes manufacturer/supplier registration",,,,"6 M (C)",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"ME Long Teng Grinding Media (Zambia) Limited","consumables_reagents","Manufactures forged steel grinding media (mill balls) for copper concentrators from a purpose-built plant in the Kalumbila industrial park","Kalumbila","Kalumbila","North-Western","Joint venture: ME Elecmetal (Chile) and Jiangyin Long Teng / Longteng Special Steel (China)","ME Elecmetal and China Longteng Special Steel Group","USD 60 million total investment (USD 40 million phase I) on a 50,000 sq m site; designed output 200,000 t/yr of grinding media; 260 jobs at full build (150 in phase I); long-term supply agreement with First Quantum's Kalumbila Minerals","120160005351","Active","Other retail sale in non-specialized stores",,,"high","non-registry source evidences operations","-12.25","25.35","town centroid, not a company address","Factory established October 2018, production lines formally commissioned 2021. Built expressly to serve First Quantum Kalumbila Minerals plus the wider African market. PACRA ISIC line is a registration-form artefact.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=GRINDING%20MEDIA&SortyBy=entity%20name&Direction=ASC | https://www.longtengspecialsteel.com/news/long-teng-grinding-media-zambia-co-ltd-are-officially-put-into-operation-95680.html"
"Rephidim Mining Supplies and Technical Services Limited","consumables_reagents","Mining supplies and technical services; PACRA nature of business 'Mining of other non-ferrous metal ores'",,,,,,"PACRA registration 2002","120020050780","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20SUPPLIES&SortyBy=entity%20name&Direction=ASC"
"Sulphuric Acid Solution Limited","consumables_reagents","Sulphuric acid supply business; PACRA ISIC 'Support activities for other mining and quarrying'. Sulphuric acid is the principal leaching reagent for Zambian copper oxide and cobalt processing",,,,,,"PACRA registration 02/11/2006","120060064106","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SULPHURIC&SortyBy=entity%20name&Direction=ASC"
"Sulphuric Source Zambia Limited","consumables_reagents","Sulphuric acid sourcing/supply company; PACRA ISIC 'Mining of chemical and fertilizer minerals'",,,,,,"Incorporated 07/12/2024","120241016834","Active","Mining of chemical and fertilizer minerals",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SULPHURIC&SortyBy=entity%20name&Direction=ASC"
"Trentyre (Zambia)","consumables_reagents","Tyre supply and management business; Trentyre is the mining and industrial tyre arm associated with the Bridgestone/Otraco tyre-management network",,,,,"Trentyre / Bridgestone group brand","PACRA business-name registration 08/02/1996","319960074471","Active","Other retail sale not in stores, stalls or markets",,,"medium","registry record and/or indirect evidence only",,,,"Registered on PACRA as the business name 'TRENTYRE'. Parent-group attribution is from brand identity, not from the register.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=TRENTYRE&SortyBy=entity%20name&Direction=ASC"
"Weir ESCO Ground Engaging Tools Zambia Limited","consumables_reagents","Supplies ESCO ground-engaging tools - excavator and loader teeth, lips, buckets and wear parts - to mining fleets",,,,"Foreign-owned subsidiary (UK parent)","The Weir Group PLC (UK), ESCO division","Incorporated 21/10/2024","120241014678","Active","Non-specialized wholesale trade",,,"high","non-registry source evidences operations",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=WEIR&SortyBy=entity%20name&Direction=ASC"
"Africa Drilling and Exploration Limited","drilling","Drilling and exploration contractor; NCC-registered in civil and electrical categories","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 4C and 5E",,,,"4C; 5E",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"ATL Drilling Services Limited","drilling","Turnkey drilling solutions for mining and construction projects, supplying rigs and drilling crews","Ndola","Ndola","Copperbelt",,,,,,,,,"high","non-registry source evidences operations","-12.9587","28.6366","town centroid, not a company address",,"https://zambianmining.com/mining-directory/"
"Baba Drilling & Exploration Company Limited","drilling","Drilling and exploration company listed on the NCC contractor register",,,,,,,,,,,,"medium","registry record and/or indirect evidence only",,,,"Grade and location columns blank in the published NCC PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Bamboo Rock Drilling Limited","drilling","Rock drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2019","120190003518","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"BLY Drilling Services Zambia Limited","drilling","Drilling services company using the Boart Longyear 'BLY' identifier; PACRA ISIC 'Support activities for other mining and quarrying'",,,,"Foreign-linked (Boart Longyear group identifier)","Boart Longyear (BLY)","Incorporated 29/03/2025","120251023049","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,"Parent attribution inferred from the 'BLY' trading identifier and is not independently confirmed - treat the parent field as provisional.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"E.F Drilling and Exploration Limited","drilling","Drilling and exploration contractor; PACRA ISIC 'Support activities for other mining and quarrying' and NCC-registered at grade 6B","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grade 6B","120210012538","Active","Support activities for other mining and quarrying","6B",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Confirmed independently on both the PACRA company register and the NCC contractor register.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC | https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Eureka Drilling Zambia Limited","drilling","Drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2020","120200006045","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"FTE Drilling (Zambia) Limited","drilling","Drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2024","120241010618","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Geotech Drilling Limited","drilling","Drilling contractor on the NCC register with a Copperbelt province classification",,,"Copperbelt","NCC ownership classification: male",,,,,,,,"medium","registry record and/or indirect evidence only",,,,"The NCC row for this company has blank grade and town columns in the published PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"HQNQ Core Drilling and Mining Services Limited","drilling","Core drilling and mining services; the name references HQ and NQ core sizes, i.e. exploration diamond drilling. PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2026","120261044042","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Hub Drilling (Zambia) Limited","drilling","Drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2023","120230056702","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Inafrica Drilling & Exploration Limited","drilling","Drilling and exploration contractor listed on the NCC contractor register (two registrations)",,,,,,,,,,,,"medium","registry record and/or indirect evidence only",,,,"Grade, town and province columns are blank for this company in the published NCC PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Jumbexplor Drilling Services Limited","drilling","Drilling services company; the name references jumbo drill rigs used in underground development. PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2023","120230045946","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Lusitu Drilling and Exploration Limited","drilling","Drilling and exploration contractor; NCC grade 1R is the top capacity band in the roads category, making this an unusually highly graded driller","Lusaka","Lusaka","Lusaka","Zambian, female-owned (NCC ownership classification: Female)",,"NCC grades 1R and 2C - high capacity bands",,,,"1R; 2C",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Notable as a female-owned Zambian firm holding top-band NCC grades.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Major Drilling Zambia Limited","drilling","Specialist exploration and surface/underground diamond drilling contractor; Zambian company of the Canadian Major Drilling Group",,,,"Foreign-owned subsidiary (Canadian parent)","Major Drilling Group International Inc. (Canada)","PACRA registration 2010","120100084932","Active","Support activities for other mining and quarrying",,,"high","non-registry source evidences operations",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Master Drilling Zambia Limited","drilling","Zambian company of Master Drilling, the raise-boring and specialised drilling contractor; NCC-registered contractor","Lusaka","Lusaka","Lusaka","Zambian ownership classification on the NCC register; brand is South African in origin","Master Drilling Group Limited (South Africa)","NCC grades 6B and 6E",,,,"6B; 6E",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Parent attribution is from brand identity; the NCC register itself records only the Zambian entity.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Mid Continent Drilling Company","drilling","Foreign company registered in Zambia for drilling operations (PACRA foreign-company number series 21...)",,,,"Foreign company registered under Part of the Companies Act for external companies",,"PACRA registration 1997","219970001143","Active",,,,"medium","registry record and/or indirect evidence only",,,,"The 219... number prefix marks this as a registered foreign company rather than a locally incorporated one.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"ML Drilling & Exploration Zambia Limited","drilling","Drilling and exploration contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2011","120110094898","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"New Resources Drilling Limited","drilling","Drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2018","120180004486","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Tekno Exploration Drilling Limited","drilling","Exploration drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2020","120200007963","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Torque Drilling Zambia Limited","drilling","Drilling contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2024","120241012540","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"United Drilling and Exploration Company Limited","drilling","Drilling and exploration contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2011","120110090863","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"Zandrill Exploration & Drilling Equipment Limited","drilling","Supplies exploration and drilling equipment and drilling services; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2026","120261049826","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DRILLING&SortyBy=entity%20name&Direction=ASC"
"African Engineering Services Ltd","engineering_epcm","Repairs and manufactures hydraulic components - cylinders, pumps, motors and buckets - supporting mining equipment maintenance","Kitwe","Kitwe","Copperbelt",,,,,,,,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address",,"https://zambianmining.com/mining-directory/"
"African Mechanical and Superlift Limited","engineering_epcm","Mechanical and heavy-lifting contractor; NCC-registered in electrical and roads categories with a Copperbelt province classification","Lusaka","Lusaka","Copperbelt","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 5E and 4R",,,,"5E; 4R",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Heavy lifting is a specialist mine-plant service (mill relines, shaft and crusher installations). NCC rows carry Lusaka as the town and Copperbelt as the province of operation.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Alph-Teck Conveyor Solutions","engineering_epcm","Conveyor systems specialist on the NCC register with a Copperbelt classification; conveyors are core plant for Zambian concentrators and stockpile handling",,,"Copperbelt","NCC ownership classification: male",,,,,,,,"medium","registry record and/or indirect evidence only",,,,"Grade and town columns blank in the published NCC PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"C & B Engineering Limited","engineering_epcm","Refurbishes mechanical and electrical rotables - pumps, valves, gearboxes and gaskets - to extend equipment life and reduce mine downtime","Kitwe","Kitwe","Copperbelt",,,,,,,,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address",,"https://zambianmining.com/mining-directory/"
"Chinzu Mining and Construction Solutions Limited","engineering_epcm","Mining and construction solutions; PACRA ISIC 'Installation of industrial machinery and equipment'",,,,,,"PACRA registration 2020","120200002501","Active","Installation of industrial machinery and equipment",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINING%20EQUIPMENT&SortyBy=entity%20name&Direction=ASC"
