"entity","entity_id","counterparty","link_type","commodity","value_usd","volume","period","status","description","source_name","source_url"
"KCM Nchanga smelter",,"Konkola, Lumwana (Barrick), Nchanga, Kansanshi, Chibuluma mines; DRC concentrate traders","offtake","copper concentrate (toll treatment / purchase)",,"design feed blend >70% Konkola + Lumwana concentrates","2008- (design basis); tolling arrangements varied","legacy/ongoing","KCM's Nchanga smelter was designed around a feed blend dominated by Konkola and Lumwana concentrates (>70%), with minor Nchanga, Kansanshi and Chibuluma streams, and has also treated DRC-origin concentrate on toll/contract terms - making KCM a key domestic offtaker for Copperbelt concentrate.","KCM smelter technical paper (Southern African Pyrometallurgy 2010); toll treatment project document","https://www.pyrometallurgy.co.za/PyroSA/2010-KCM.pdf"
"KoBold Metals (Mingomba copper project, Chililabombwe)",,"Africa Finance Corporation / Zambia-Lobito rail project","corridor","copper",,">300,000 t copper per year committed as anchor cargo","MoU announced December 4, 2024; Mingomba production targeted early 2030s","MoU","KoBold signed an MoU with AFC committing to anchor the commercial viability of the Zambia-Lobito rail project with more than 300,000 t/yr of copper from its Mingomba mine (development begun; production targeted for the early 2030s); Lobito cuts transit to port from ~45 days by road/other corridors to ~7 days.","KoBold Metals press release; Reuters","https://koboldmetals.com/2024/12/04/kobold-metals-participates-in-partnership-for-global-infrastructure-and-investment-in-the-lobito-trans-africa-corridor/"
"Konkola Copper Mines (KCM)","KCM","Trafigura","financing_offtake","copper","100000000",,"2021; arbitration ongoing","disputed (arbitration)","Trafigura entered a US$100m prepayment agreement involving KCM, backed by a guarantee signed by ZCCM-IH's then-CEO on July 28, 2021; Trafigura has since sought arbitration against ZCCM-IH over the guarantee.","Zambia Monitor","https://www.zambiamonitor.com/trafigura-seeks-arbitration-against-zccm-ih-over-2021-copper-deal/"
"Konkola Copper Mines (KCM)","KCM","Vedanta Resources","financing_offtake","copper","1000000000",,"2024-2029 (5-year plan)","active","Vedanta regained control of KCM (80%) in August 2024 after the provisional-liquidation era and committed a $1bn five-year investment plan (>$400m injected by late 2025), mandating Rand Merchant Bank to raise up to $1bn of debt; KCM output is marketed within Vedanta group channels.","Vedanta Resources press release; Copperbelt Katanga Mining; Zambia Monitor","https://www.vedantaresources.com/uploads/media_pdf/press_release/vrl/2024/vedanta-regains-control-of-zambias-konkola-copper-mines.pdf"
"Konkola Copper Mines (KCM)","KCM","Prospec Chemicals (Alberta, Canada); Charles Tennant & Co","trucking","sodium isopropyl xanthate and other flotation reagents (inbound)",,"3 manifests 2016-2025, ~92 t total","2016-2025","active","US/Canada customs manifests show KCM's inbound reagent supply chain (xanthate flotation chemicals from Canadian producers), a rare shipment-level view of KCM procurement continuing through the Vedanta return in 2025.","ImportYeti (US CBP AMS manifests)","https://www.importyeti.com/company/konkola-copper-mines"
"Lobito Atlantic Railway",,"US International Development Finance Corporation (DFC)","rail","copper, cobalt corridor freight","553000000",,"committed 2023-2024; loan signed December 17, 2025","active","The US DFC committed and signed up to $553m in debt financing for the Lobito Atlantic Railway rehabilitation (1,300 km brownfield line plus Lobito port infrastructure), paired with $200m from the Development Bank of Southern Africa - the flagship US PGI investment in the corridor.","DFC press release; Reuters","https://www.dfc.gov/media/press-releases/dfc-announces-investments-supporting-development-along-lobito-corridor"
"Lobito Atlantic Railway (Angola/DRC leg)",,"Trafigura / Mota-Engil / Vecturis consortium","rail","copper, cobalt (DRC/Zambian transit)","555000000","targeting 40,000 t/month each direction by 2026; ~1.5 Mt/yr within the decade","2023- (30-year concession)","active","The Trafigura-Mota-Engil-Vecturis consortium holds the 30-year Lobito Atlantic Railway concession over the 1,300 km Benguela line and Lobito minerals terminal, with ~$555m committed for initial upgrades (total financing ~$753m); Zambian cargo currently reaches the railhead by road via DRC.","IndexBox; Angola2050 entity profile","https://www.indexbox.io/blog/lobito-atlantic-railway-nears-533m-us-funding/"
"Lubambe Copper Mine","LUBAMBE","JCHX Mining Management (SHSE:603979)","financing_offtake","copper concentrate",,,"agreed January 21, 2024; completed 2024","active","JCHX (Chinese mine-contracting group) acquired 80% of Lubambe from EMR Capital for a nominal consideration plus assumed obligations, taking over a mine whose concentrate is sold to Copperbelt smelters; production rose ~10% under JCHX in its first year.","Copperbelt Katanga Mining; Zambia Monitor; Zambian Business Times","https://copperbeltkatangamining.com/jchx-acquires-80-stake-in-lubambe-copper-mines-from-emr-capital/"
"Lumwana Mining Company (Barrick)",,"KCM Nchanga smelter and other Zambian smelters","offtake","copper concentrate",,"Lumwana concentrate formed the majority of Nchanga smelter design feed (with Konkola, >70% combined)","2008- (design basis); Super Pit expansion (~$2bn) to double output from 2028","active","Barrick's Lumwana sells copper concentrate primarily into Zambian smelters - it was a design-basis feed source for KCM's Nchanga smelter - and the ~$2bn Super Pit expansion (feasibility completed Q4 2024, impairment reversal of $655m recognized) is set to double concentrate volumes seeking smelting/export capacity.","KCM smelter technical paper; Barrick FY2024 financial statements exhibit (fetched)","https://www.pyrometallurgy.co.za/PyroSA/2010-KCM.pdf"
"Mimbula Copper Project (Moxico Resources Zambia)",,"Ecora Resources","stream","copper","50000000","stream over existing 11-year reserve-based life-of-mine; Phase 1 produces ~10,000 t cathode/yr","from February 27, 2025","active","Ecora Resources acquired a copper stream over Moxico's producing Mimbula mine for $50m cash, funding Mimbula's expansion; the stream spans the current 11-year LoM. No Mercuria/Trafigura marketing agreement for Mimbula cathode has been published.","Mining Weekly; Ecora RNS coverage","https://www.miningweekly.com/article/ecora-enters-into-50m-copper-stream-agreement-over-zambia-project-2025-02-27"
"Mopani Copper Mines Plc","MOPANI","International Resources Holding (IRH, Abu Dhabi)","financing_offtake","copper","1100000000","target scale-up toward 200,000 t/yr copper","completed March 2024","active","IRH acquired 51% of Mopani for $1.1bn in new investment (equity and shareholder loans), with ZCCM-IH retaining 49%; the deal enabled restructuring of the legacy Glencore transaction debt and funds the mine's production ramp-up.","IRH assets page; Prospect Intelligence","https://www.irh.ae/assets/"
"Mopani Copper Mines Plc","MOPANI","Glencore International AG (via Carlisa Investments)","financing_offtake","copper (cathode)","1500000000","10-17.5% of gross revenue of copper sales dedicated to debt service","2021-2024 (restructured after IRH entry)","legacy/restructured","Glencore sold its 90% (73.1% attributable) stake in Mopani to ZCCM-IH in a $1.5bn transaction settled as debt owed by Mopani; Glencore retained offtake rights over Mopani's copper production until the transaction debt was repaid in full. Debt was restructured when IRH came in (2024).","Glencore press release; ZCCM-IH announcement","https://www.glencore.com/media-and-insights/news/signed-contract-to-sell-underlying-stake-of-73-in-mopani-in-1_5b-transaction"
"Mopani Copper Mines Plc","MOPANI","Mercuria Energy Trading","financing_offtake","copper cathode","200000000",,"2025-","active","Mercuria struck a $200m pre-payment agreement giving it supply of copper from IRH-majority-owned Mopani. Corroborated at shipment level: US customs manifests (Jul-Sep 2025) show Mercuria Energy America lifting ~2,800 t of Mopani- and Kansanshi-brand cathodes per shipment via Durban to Baltimore/Norfolk.","Miningmx; ImportYeti BoL records","https://www.miningmx.com/news/markets/60665-mercuria-targeting-more-investments-after-securing-mopani-deal/"
"Mopani Copper Mines Plc","MOPANI","Port of Durban (South Africa)","port","copper cathode",,"~2.8m kg across 4 US-bound shipments Jul-Sep 2025","2025","active","US CBP manifests show Mopani cathode exports loading at Durban ('Port Natal') for US East Coast discharge (Baltimore, Norfolk), evidencing the Durban road corridor as Mopani's Atlantic-market export route.","ImportYeti (US CBP AMS manifests)","https://www.importyeti.com/supplier/mopani-copper-mines"
"NFC Africa Mining (Chambishi main/west/southeast ore bodies)",,"Chambishi Copper Smelter (CNMC group)","offtake","copper concentrate",,,"ongoing","active","CNMC's NFC Africa Chambishi mines deliver concentrate to the adjacent CNMC-controlled Chambishi Copper Smelter, an intra-group supply relationship; the smelter also buys from other Copperbelt producers (capacity ~150,000 t concentrate/yr per corridor profile, larger per Fastmarkets).","Lobito Corridor mine profile; Fastmarkets","https://www.lobitocorridor.com/mines/zambia/chambishi/"
"North-West Rail Company (Zambia)",,"Zambian government (concession); Uroven / Transmashholding subsidiaries (cooperation agreements)","rail","copper (Kansanshi, Lumwana, Kalumbila mines)","489000000",,"Phase 1 (Chingola-Solwezi-Kalumbila, ~290 km) est. $489-500m; total project ~$1.0-1.5bn; Phase 2 Kalumbila-Jimbe ~300 km","development/early construction","The privately promoted North-West Rail line would connect Chingola to the Kansanshi, Lumwana and Kalumbila mines (Phase 1) and extend to Jimbe on the Angolan border (Phase 2) to join the Benguela/Lobito system, putting the new Copperbelt on rail for the first time.","North West Rail Zambia; International Railway Journal; RailwayPro","https://northwestrailzambia.com/project-overview"
"TAZARA (Tanzania-Zambia Railway Authority)",,"China Civil Engineering Construction Corporation (CCECC)","rail","general freight incl. copper exports to Dar es Salaam","1400000000",,"30-year concession (3 years rehabilitation + 27 years operation); agreed 2024, concession agreement signed 2025","active/implementation","CCECC is investing $1.4bn to revitalize TAZARA under a 30-year concession - roughly $1.0bn for full rehabilitation of the 1,860 km line plus rolling stock - restoring the Dar es Salaam corridor as a rail option for Zambian copper; concession fees are payable to TAZARA during operations.","TAZARA/CCECC announcement; Reuters; InfraPPP","https://tazarasite.com/"
"Zambia Railways Ltd / Ministry of Transport",,"Mining and heavy-cargo shippers (industry-wide)","rail","heavy and bulk cargo incl. copper and mining inputs",,"mandate: minimum 30% of heavy/bulk cargo by rail","Statutory Instrument signed January 2018; enforcement phased pending capacity upgrades","partially implemented","Zambia's SI compels transporters of heavy and bulk cargo (including mineral exports) to move at least 30% by rail; the Chamber of Mines noted enforcement was deferred until Zambia Railways upgraded freight capacity, so most copper still moves by road.","Lusaka Times; Zambia Chamber of Mines; Zambia Business Regulatory portal","https://www.lusakatimes.com/2018/01/26/new-si-compel-movement-30-heavy-cargo-rail/"
"Zambia-Lobito rail link (Chingola to Angolan border, greenfield)",,"Africa Finance Corporation (lead developer); Governments of Zambia and Angola","corridor","copper","4000000000",,"concession agreements signed September 25, 2024; groundbreaking targeted early 2026; financial close target end-2027","development","AFC signed concession agreements with Angola and Zambia to finance, build, own and operate the greenfield Zambia-Lobito rail extension; CPCS conducted the feasibility study. Reported funding commitments for the corridor exceed $4bn, including $500m from AFC and EUR 300m from Italy.","Africa Finance Corporation; Reuters; CPCS","https://www.africafc.org/news-and-insights/news/afc-signs-concession-agreements-with-governments-of-angola-and-zambia-to-advance-zambia-lobito-rail-project"
"ZAMEFA (Metal Fabricators of Zambia Plc)",,"Reunert Ltd (via Reunert International Investments (Mauritius) Ltd)","financing_offtake","copper rod, wire and cable",,,"2021- (Reunert control)","active","JSE-listed Reunert is ZAMEFA's controlling shareholder and guarantees the company's bank lines of credit and supplier credit facilities, underpinning ZAMEFA's working-capital-intensive cathode purchasing and its export sales of rod and cable into regional markets.","ZAMEFA FY2023 annual report (PDF fetched)","https://www.zamefa.com/"
"ZAMEFA (Metal Fabricators of Zambia Plc, Luanshya)",,"Zambian copper mines (cathode suppliers)","offtake","copper cathode (input to rod, wire and cable)",,"FY2023: normalized cathode supply supported a 17% increase in volumes sold","ongoing","active","ZAMEFA, Zambia's copper rod and cable fabricator, purchases cathode from Zambian mines; its FY2023 report attributes the year's 14% revenue growth partly to normalization of cathode supply from the mines, making it the main domestic downstream offtaker of Zambian cathode.","ZAMEFA FY2023 annual report (PDF fetched)","https://www.zamefa.com/"
