"category","name","year_started","status","description","value_usd","entities","entity_ids","source_name","source_url","note"
"policy","Directive requiring emerald auctions to be held in Zambia (2013)","2013","relaxed","In April 2013 the Ministry of Mines, Energy and Water Development directed that all emerald auctions be held inside Zambia, arguing offshore sales (Gemfields auctioned in Singapore and Jaipur) caused capital flight and denied local dealers access. Gemfields was forced to move its June 2013 Singapore auction to Lusaka; the single-sales-point policy was later relaxed and Gemfields resumed international auctions alongside periodic Lusaka sales.",,"Ministry of Mines, Energy and Water Development | Gemfields | Kagem Mining Ltd","","Forbes - Zambia Ruling A Blow For Emerald Ambitions Of Gemfields","https://www.forbes.com/sites/anthonydemarco/2013/04/10/zambia-ruling-a-blow-for-emerald-ambitions-of-gemfields/","Snippet-based. Early example of marketing-stage (rather than processing-stage) value-capture policy."
"policy","Mines and Minerals Development Act No. 11 of 2015 (incl. 2022 royalty amendment)","2015","repealed (replaced 2024-2025)","The 2015 Act was Zambia's principal mining law, providing for mineral processing licences and local-preference obligations for goods, services and employment. The Mines and Minerals (Amendment) Act No. 29 of 2022 (effective 1 January 2023) restructured mineral royalty to a marginal-rate basis and restored its deductibility for income tax, improving economics for integrated mine-plus-processing operations.",,"National Assembly of Zambia | Ministry of Mines and Minerals Development","","Afriwise - Understanding Zambia's Mining Law Overhaul","https://www.afriwise.com/blog/understanding-zambias-mining-law-overhaul--from-the-2015-mines-and-minerals-development-act-to-the-2024-minerals-regulation-commission-act","Snippet-based; amendment bill text at https://www.parliament.gov.zm/node/10738"
"policy","15% export duty on precious gemstones and metals","2019","suspended (SI No. 4 of 2025, retroactive to 1 Jan 2025)","Introduced 1 January 2019 at 15% on gemstone and precious-metal exports, suspended from 1 January 2020 after industry pressure, abruptly reinstated 1 January 2025 (raising Kagem's effective revenue tax to 21% before 30% corporate tax), then re-suspended on 18 February 2025 by Statutory Instrument No. 4 of 2025 after Gemfields halted emerald sales. The whiplash illustrates the difficulty of taxing raw gemstone exports without in-country cutting capacity.",,"Ministry of Finance and National Planning | Gemfields | Kagem Mining Ltd | Zambia Revenue Authority","","National Jeweler - Zambia Reinstates 15% Export Duty on Precious Gemstones, Shocking Gemfields","https://nationaljeweler.com/articles/13559-zambia-reinstates-15-export-duty-on-precious-gemstones-shocking-gemfields","Snippet-based; suspension confirmed by Lusaka Times (https://www.lusakatimes.com/2025/02/20/zambias-suspension-of-15-export-duty-on-precious-stones-economic-impact-and-expert-reactions/) and Gemfields Group statements."
"policy","5% import duty on copper and cobalt concentrates (2019)","2019","repealed (2020)","The 2019 budget imposed a 5% import duty on copper and cobalt concentrates from 1 January 2019, intended to capture more value from imported DRC feedstock. It backfired for value addition: ERG's Chambishi Metals refinery (capacity 6,800 t/y cobalt, 55,000 t/y copper), which processed DRC concentrate, suspended operations and placed 351 workers on paid leave; the Chamber of Mines warned of over 21,000 job losses from the wider 2019 tax package.",,"Zambia Revenue Authority | Chambishi Metals Plc | Eurasian Resources Group (ERG) | Zambia Chamber of Mines","CHAMBISHI_METALS","Fastmarkets - ERG suspends copper, cobalt production at Chambishi","https://www.fastmarkets.com/insights/erg-suspends-copper-cobalt-production-at-chambishi","Snippet-based. Key case study of a duty intended to promote domestic value capture instead idling a refinery; Chambishi Metals remained on care and maintenance for years afterwards."
"policy","Zero-rating of import duty on copper and cobalt concentrates (2020 budget)","2020","in force","Reversing the 2019 measure, the government cut import duty on copper and cobalt concentrates to 0% to restore feedstock economics for domestic smelters and refineries that toll-treat DRC material. The measure recognises that Zambian smelter capacity exceeds domestic concentrate supply, making imported feed integral to the value-addition chain.",,"Ministry of Finance and National Planning | Zambia Revenue Authority","","Mondaq - Zero Import Duty On Copper Concentrates (Zambia)","https://www.mondaq.com/mining/993016/zero-import-duty-on-copper-concentrates","Snippet-based legal commentary."
"policy","National Mineral Resources Development Policy 2022 - value addition pillar","2022","in force","Objective 7 of the 2022 policy is to 'promote value addition in the mineral resource value chain', framing downstream processing, local content and eventually EV-battery manufacturing as core goals alongside the 3-million-tonne copper target. Analysts note implementation ambiguity over which ministry owns the value-addition agenda, and that almost no Zambian firms add value beyond copper cathode.",,"Ministry of Mines and Minerals Development","","Ministry of Mines and Minerals Development - National Mineral Resources Development Policy 2022 (PDF)","https://www.mmmd.gov.zm/wp-content/uploads/2024/09/National-Mineral-Resources-Development-Policy-2022.pdf","Primary source (official policy PDF). Critical academic assessment: Clube (2024), 'Value addition for who?', Extractive Industries and Society, https://www.sciencedirect.com/science/article/pii/S2214790X24001503"
"policy","Minerals Regulation Commission Act No. 14 of 2024","2024","in force","Establishes the Minerals Regulation Commission as an autonomous regulator (replacing direct ministry licensing), overhauls licence categories including mineral processing licences, and grants the state a minimum 30% golden-share/production-interest option in new mining licences. Together with the Geological and Minerals Development Act 2025 it replaced the 2015 Mines Act; it does not impose mandatory in-country processing but anchors the institutional machinery for value-addition regulation.",,"Minerals Regulation Commission | National Assembly of Zambia | Ministry of Mines and Minerals Development","","National Assembly of Zambia - Minerals Regulation Commission Act, 2024 (Act No. 14)","https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%2014%20of%202024%20The%20Mineral%20Regulation%20Commission.pdf","Primary source (act text). Commentary: Afriwise and Bowmans (https://bowmanslaw.com/insights/zambia-mining-sector-undergoes-significant-overhaul-with-implementation-of-new-laws/)."
"policy","National Critical Minerals Strategy (2024-2028)","2024","in force","Launched 29 August 2024, the strategy aims to stop raw export of critical minerals (cobalt, manganese, nickel, lithium, graphite, REEs) and promote domestic processing through policy reviews to limit raw-mineral exports, tax incentives for local processing industries, and a government fund for local value addition. It is paired with the 3-million-tonne copper target and flagship projects such as Africa's first cobalt sulphate refinery.",,"Ministry of Mines and Minerals Development | Government of Zambia","","DLA Piper Africa (Chibesakunda & Co) - Understanding Zambia's National Critical Minerals Strategy","https://www.dlapiperafrica.com/en/zambia/insights/2024/understanding-zambias-national-critical-minerals-strategy-key-implications-for-the-mining-sector","Snippet-based legal analysis; launch reported by Copperbelt Katanga Mining (https://copperbeltkatangamining.com/zambia-to-launch-national-critical-minerals-strategy/)."
"policy","Local content regulations - SI No. 68 of 2025 (preference for goods and services in mining)","2025","in force (phase-in from 2026)","The Geological and Minerals Development (Local Content) Regulations reserve a progressive share of core mining procurement for Zambian-owned or citizen-empowered companies - starting at 20% in 2026 and rising to at least 40% within five years - with a 15% price preference in bid evaluation. Non-core services (catering, security, haulage) are reserved exclusively for local companies, and miners must fund supplier development programmes at a minimum 0.05% of annual procurement spend.",,"Ministry of Mines and Minerals Development | Minerals Regulation Commission","","UNCTAD Investment Policy Monitor - Zambia introduces mandatory local content requirements","https://investmentpolicy.unctad.org/investment-policy-monitor/measures/5293/zambia-introduces-mandatory-local-content-requirements-and-procurement-thresholds-in-the-mining-sector-","Snippet-based; legal analysis by Dentons (https://www.dentons.com/en/insights/articles/2025/october/23/the-geological-and-minerals-development-regulations)."
"policy","Copper concentrate export duty waiver 2025-2026 (smelter outages)","2025","in force (temporary)","First implemented in August 2025 and extended to 30 September 2026, the waiver suspends the 10% export duty for an approved quota of 271,742 tonnes of copper concentrates so miners can clear stockpiles while major smelters (including Kansanshi and Mopani units) undergo extended maintenance. Commentators read it as prioritising output and cashflow over beneficiation.",,"Ministry of Finance and National Planning | Zambia Revenue Authority","","bne IntelliNews - Zambia extends copper concentrate export-duty waiver","https://www.intellinews.com/zambia-extends-copper-concentrate-export-duty-waiver-prioritising-output-over-beneficiation-amid-smelter-constraints-446591/","Snippet-based; corroborated by Mining.com and CNBC Africa. Evidence of the tension between the export-duty beneficiation lever and real smelting capacity."
"policy","Geological and Minerals Development Act No. 2 of 2025 - value addition provisions","2025","in force","Companion statute to the MRC Act; tasks government with developing incentives to attract mining investors and 'promote value addition and reinvestment', and obliges holders of mining rights and mineral processing licences to give preference to Zambian-made materials and citizen-owned contractors and suppliers. Provides the statutory hook for the 2025 local content regulations.",,"Ministry of Mines and Minerals Development | National Assembly of Zambia","","ZambiaLII - Geological and Minerals Development Act, 2025","https://zambialii.org/akn/zm/act/2025/2/eng@2025-04-15","Primary source (consolidated act text on ZambiaLII)."
"state_vehicle","IDC Zambia mining-sector beneficiation mandate","2014","operational","The Industrial Development Corporation, the state investment holding company (sole shareholder of ZCCM-IH's government stake and holder of 25% of Kagem Mining), promotes diversified exploration and mining of gold, gemstones, cobalt and manganese 'with emphasis on local beneficiation and value addition'. Its industrial portfolio includes mining-adjacent ventures and it has extended development financing to processing projects.",,"Industrial Development Corporation (IDC) Zambia | ZCCM-IH | Kagem Mining Ltd","ZCCM_IH","IDC Zambia - Mining sector page","https://www.idc.co.zm/industry-sectors/mining-2/","Primary source (IDC)."
"state_vehicle","Kabundi Resources manganese mining and washing (ZCCM-IH)","2020","operational","ZCCM-IH's wholly owned Kabundi Resources mines manganese at Kabundi, Serenje (Central Province), with mining from May 2020 targeting 20,000 t/month of ore; a first wash plant (~100 t/day) started September 2020 and a second 150 t/h plant was installed to lift washed-manganese output to ~10,000 t/month. ZCCM-IH also runs a Manganese Aggregation Pilot Project in Luapula Province to pool small-scale output, positioning for battery-grade manganese ambitions.",,"Kabundi Resources Ltd | ZCCM-IH","ZCCM_IH","ZCCM-IH - Integrated Annual Report 2024","https://minedocs.com/29/ZCCM-AR-12312024.pdf","Primary source (annual report PDF, mirrored on minedocs); operational details also on ZCCM-IH investments pages."
"state_vehicle","Zambia Gold Company - national gold buying, processing and refining programme","2020","operational","ZGC (51% ZCCM-IH, 49% Ministry of Finance) has the mandate to mine, process, refine and market gold nationally: it buys gold from artisanal and small-scale miners, trains cooperatives in mechanised responsible mining, and plans a gold refinery producing bullion plus a jewellery beneficiation line. ZCCM-IH issued an EOI in October 2020 for a feasibility study into re-establishing a Precious Metals Plant (the old Ndola Copper Refinery PMP refined gold and PGMs 1977-2004).",,"Zambia Gold Company Ltd | ZCCM-IH | Ministry of Finance and National Planning","ZCCM_IH","ZCCM-IH - ZCCM-IH and its investment strategy in the gold sector in Zambia","https://www.zccm-ih.com.zm/2020/05/26/zccm-ih-and-its-investment-strategy-in-the-gold-sector-in-zambia/","Primary source (ZCCM-IH); refinery EOI at https://www.zccm-ih.com.zm/2020/10/28/request-for-expressions-of-interest-eoi-for-a-consultant-to-conduct-a-feasibility-study-into-setting-up-a-precious-metals-plant/"
"zone_incentive","MFEZ / priority-sector fiscal incentive regime (ZDA Act)","2006","in force","Under the ZDA Act, investors committing at least US$500,000 (foreign) or US$50,000 (local, threshold lowered to broaden access) in a Multi-Facility Economic Zone, industrial park or priority sector qualify for fiscal incentives including 0% corporate income tax for up to 10 years on zone profits and 0% import duty on machinery and capital goods for five years. The 2022 budget re-introduced enhanced MFEZ manufacturing incentives to drive value addition to raw materials.",,"Zambia Development Agency | Zambia Revenue Authority | Ministry of Commerce, Trade and Industry","","Zambia Development Agency - Investment Incentives","https://zda.org.zm/investment-incentives/","Primary source (ZDA); ZRA tax incentive schedule at https://www.zra.org.zm/wp-content/uploads/2022/06/Tax-Incentives.pdf; 2022 re-introduction analysed by Bowmans (https://bowmanslaw.com/insights/corporate-services/zambia-re-introduces-fiscal-incentives-to-promote-manufacturing-in-economic-zones)."
"zone_incentive","Chambishi MFEZ / Zambia-China Economic and Trade Cooperation Zone (ZCCZ)","2007","operational","Zambia's first declared MFEZ and China's first overseas economic and trade cooperation zone in Africa, developed by China Nonferrous Metal Mining Co (CNMC) at Chambishi on the Copperbelt. It anchors mineral value addition with the Chambishi copper smelter, acid plants, and dozens of processing and fabrication tenants; government ministers actively market it as the tax-free zone for adding value to copper.",,"China Nonferrous Metal Mining Co (CNMC) | ZCCZ Development Co | Zambia Development Agency","","World Bank - Multi-facility Economic Zones in Zambia (working paper)","https://documents1.worldbank.org/curated/en/720981495115586647/pdf/115143-WP-PUBLIC-Feb-2016-GTCCS-ZambiaMFEZ.pdf","Fetched via search; World Bank evaluation covers performance. Lusaka East MFEZ is a ZCCZ sub-zone opened 2009 focused on light industry and services."
"zone_incentive","Lusaka South Multi-Facility Economic Zone (LS-MFEZ)","2010","operational","Zambia's first state-owned economic zone, 15 km from central Lusaka, offering the standard MFEZ fiscal package plus dedicated power (600 MW ZESCO substation, 80 MW solar). By the mid-2020s it reported 164 approved investors and about US$1.68 billion in cumulative committed investment, including mineral-adjacent manufacturing, though it is less minerals-focused than Chambishi.","1680000000","Lusaka South MFEZ Ltd | Ministry of Finance and National Planning | ZESCO","","Lusaka South MFEZ - official site","https://www.lsmfez.co.zm/","Primary source (zone operator); investment figure is operator-reported."
